('139', '8.15967033961561', 'A Beautiful Mind', '2001', 'Ron Howard (dir.), Russell Crowe, Ed Harris')
('140', '8.157780475966646', 'The Great Escape', '1963', 'John Sturges (dir.), Steve McQueen, James Garner')
('141', '8.157562478219555', 'The Wolf of Wall Street', '2013', 'Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill')
('142', '8.152539722978513', "Pan's Labyrinth", '2006', 'Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil')
('143', '8.148570493156072', 'El secreto de sus ojos', '2009', 'Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil')
('144', '8.148124418848298', 'There Will Be Blood', '2007', 'Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano')
('145', '8.14611903095624', 'Lock, Stock and Two Smoking Barrels', '1998', 'Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher')
('146', '8.14299792652042', 'Judgment at Nuremberg', '1961', 'Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster')
('147', '8.142744276654975', 'Tonari no Totoro', '1988', 'Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka')
('148', '8.142225456717783', 'Raging Bull', '1980', 'Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty')
('149', '8.137459382436518', 'The Treasure of the Sierra Madre', '1948', 'John Huston (dir.), Humphrey Bogart, Walter Huston')
('150', '8.131851524607255', 'Dial M for Murder', '1954', 'Alfred Hitchcock (dir.), Ray Milland, Grace Kelly')
('151', '8.13041507239754', 'Three Billboards Outside Ebbing, Missouri', '2017', 'Martin McDonagh (dir.), Frances McDormand, Woody Harrelson')
('152', '8.12918979831829', 'Shutter Island', '2010', 'Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer')
('153', '8.126558136779026', 'The Gold Rush', '1925', 'Charles Chaplin (dir.), Charles Chaplin, Mack Swain')
('154', '8.126527143971707', 'Chinatown', '1974', 'Roman Polanski (dir.), Jack Nicholson, Faye Dunaway')
('155', '8.125003845825201', 'Babam ve Oglum', '2005', 'Veysel Aslan (dir.), Eser Sariyar, Çetin Tekindor')
('156', '8.124690565621398', 'No Country for Old Men', '2007', 'Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem')
('157', '8.12296900958036', 'V for Vendetta', '2005', 'James McTeigue (dir.), Hugo Weaving, Natalie Portman')
('158', '8.120471571121682', 'Inside Out', '2015', 'Pete Docter (dir.), Amy Poehler, Bill Hader')
('159', '8.118860707211933', 'The Elephant Man', '1980', 'David Lynch (dir.), Anthony Hopkins, John Hurt')
('160', '8.118704698046027', 'Det sjunde inseglet', '1957', 'Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand')
('161', '8.118595184223434', 'The Thing', '1982', 'John Carpenter (dir.), Kurt Russell, Wilford Brimley')
('162', '8.117264793097021', 'Warrior', '2011', "Gavin O'Connor (dir.), Tom Hardy, Nick Nolte")
('163', '8.116207835550643', 'The Sixth Sense', '1999', 'M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment')
('164', '8.114922995513517', 'Trainspotting', '1996', 'Danny Boyle (dir.), Ewan McGregor, Ewen Bremner')
('165', '8.114527026070961', 'Jurassic Park', '1993', 'Steven Spielberg (dir.), Sam Neill, Laura Dern')
('166', '8.112310367554768', 'Klaus', '2019', 'Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons')
